,train_dataset,test_dataset,train_building,test_building,embedings,epochs,sample_period,device,recall,precision,accuracy,f1,rel_error_total_energy,mean_abs_error
0,ukdale,redd,1,1,FALSE,30,6,fridge,0.9557,0.2873,0.2966,0.4418,0.0733,68.0728
0,ukdale,redd,1,1,TRUE,30,6,fridge,0.9975,0.2909,0.2911,0.4504,0.1646,65.705
0,ukdale,ukdale,1,1,FALSE,30,6,fridge,0.4703,0.4347,0.5707,0.4518,0.5815,46.6938
0,ukdale,ukdale,1,1,TRUE,30,6,fridge,0,,0.6238,,0.5333,44.4857
0,ukdale,ukdale,1,2,FALSE,30,6,fridge,0.9607,1,0.9607,0.98,0.0825,39.8353
0,ukdale,ukdale,1,2,TRUE,30,6,fridge,1,1,1,1,0.0016,38.9847
